codigo,region,fecha,positivos_acumulados,positivos_nuevos,en_uci,nuevos_pcrs_informados_lab,muertes_acumuladas,muertes_nuevas
3,Atacama,03/16/2020,1,0,,,,
4,Coquimbo,03/16/2020,0,0,,,,
5,Valparaíso,03/16/2020,1,1,,,,
13,Metropolitana,03/16/2020,123,69,,,,
6,O’Higgins,03/16/2020,0,0,,,,
7,Maule,03/16/2020,9,0,,,,
16,Ñuble,03/16/2020,12,8,,,,
8,Biobío,03/16/2020,4,1,,,,
9,Araucanía,03/16/2020,1,1,,,,
14,Los Ríos,03/16/2020,1,1,,,,
10,Los Lagos,03/16/2020,1,0,,,,
11,Aysén,03/16/2020,1,0,,,,
12,Magallanes,03/16/2020,0,0,,,,
15,Arica y Parinacota,03/17/2020,0,0,,,,
1,Tarapacá,03/17/2020,0,0,,,,
2,Antofagasta,03/17/2020,2,0,,,,
3,Atacama,03/17/2020,1,0,,,,
4,Coquimbo,03/17/2020,0,0,,,,
5,Valparaíso,03/17/2020,1,0,,,,
13,Metropolitana,03/17/2020,152,29,,,,
6,O’Higgins,03/17/2020,0,0,,,,
7,Maule,03/17/2020,9,0,,,,
16,Ñuble,03/17/2020,26,14,,,,
8,Biobío,03/17/2020,4,0,,,,
9,Araucanía,03/17/2020,1,0,,,,
14,Los Ríos,03/17/2020,1,0,,,,
10,Los Lagos,03/17/2020,1,0,,,,
11,Aysén,03/17/2020,1,0,,,,
12,Magallanes,03/17/2020,2,2,,,,
15,Arica y Parinacota,03/18/2020,0,0,,,,
1,Tarapacá,03/18/2020,0,0,,,,
2,Antofagasta,03/18/2020,2,0,,,,
3,Atacama,03/18/2020,1,0,,,,
4,Coquimbo,03/18/2020,0,0,,,,
5,Valparaíso,03/18/2020,1,0,,,,
13,Metropolitana,03/18/2020,174,22,,,,
6,O’Higgins,03/18/2020,0,0,,,,
7,Maule,03/18/2020,11,2,,,,
16,Ñuble,03/18/2020,26,0,,,,
8,Biobío,03/18/2020,7,3,,,,
9,Araucanía,03/18/2020,4,3,,,,
14,Los Ríos,03/18/2020,1,0,,,,
10,Los Lagos,03/18/2020,8,7,,,,
11,Aysén,03/18/2020,1,0,,,,
12,Magallanes,03/18/2020,2,0,,,,
15,Arica y Parinacota,03/19/2020,1,1,,,,
1,Tarapacá,03/19/2020,0,0,,,,
2,Antofagasta,03/19/2020,2,0,,,,
3,Atacama,03/19/2020,1,0,,,,
4,Coquimbo,03/19/2020,2,2,,,,
5,Valparaíso,03/19/2020,4,3,,,,
13,Metropolitana,03/19/2020,247,73,,,,
6,O’Higgins,03/19/2020,2,2,,,,
7,Maule,03/19/2020,14,3,,,,
16,Ñuble,03/19/2020,28,2,,,,
