codigo_region,region,codigo_comuna,comuna,fecha,positivos_acumulados
9,Araucanía,9206,Los Sauces,3/15/2020,-
9,Araucanía,9207,Lumaco,3/15/2020,-
9,Araucanía,9110,Melipeuco,3/15/2020,-
9,Araucanía,9111,Nueva Imperial,3/15/2020,-
9,Araucanía,9112,Padre Las Casas,3/15/2020,0
9,Araucanía,9113,Perquenco,3/15/2020,-
9,Araucanía,9114,Pitrufquén,3/15/2020,0
9,Araucanía,9115,Pucón,3/15/2020,-
9,Araucanía,9208,Purén,3/15/2020,-
9,Araucanía,9209,Renaico,3/15/2020,-
9,Araucanía,9116,Saavedra,3/15/2020,-
9,Araucanía,9101,Temuco,3/15/2020,0
9,Araucanía,9117,Teodoro Schmidt,3/15/2020,-
9,Araucanía,9118,Toltén,3/15/2020,-
9,Araucanía,9210,Traiguén,3/15/2020,-
9,Araucanía,9211,Victoria,3/15/2020,0
9,Araucanía,9119,Vilcún,3/15/2020,0
9,Araucanía,9120,Villarrica,3/15/2020,-
14,Los Ríos,14102,Corral,3/15/2020,-
14,Los Ríos,14202,Futrono,3/15/2020,-
14,Los Ríos,14201,La Unión,3/15/2020,-
14,Los Ríos,14203,Lago Ranco,3/15/2020,-
14,Los Ríos,14103,Lanco,3/15/2020,-
14,Los Ríos,14104,Los Lagos,3/15/2020,-
14,Los Ríos,14105,Máfil,3/15/2020,-
14,Los Ríos,14106,Mariquina,3/15/2020,-
14,Los Ríos,14107,Paillaco,3/15/2020,-
14,Los Ríos,14108,Panguipulli,3/15/2020,-
14,Los Ríos,14204,Río Bueno,3/15/2020,-
14,Los Ríos,14101,Valdivia,3/15/2020,0
10,Los Lagos,10202,Ancud,3/15/2020,-
10,Los Lagos,10102,Calbuco,3/15/2020,0
10,Los Lagos,10201,Castro,3/15/2020,-
10,Los Lagos,10401,Chaitén,3/15/2020,-
10,Los Lagos,10203,Chonchi,3/15/2020,-
10,Los Lagos,10103,Cochamó,3/15/2020,-
10,Los Lagos,10204,Curaco de Vélez,3/15/2020,-
10,Los Lagos,10205,Dalcahue,3/15/2020,-
10,Los Lagos,10104,Fresia,3/15/2020,-
10,Los Lagos,10105,Frutillar,3/15/2020,-
10,Los Lagos,10402,Futaleufú,3/15/2020,-
10,Los Lagos,10403,Hualaihué,3/15/2020,-
10,Los Lagos,10107,Llanquihue,3/15/2020,-
10,Los Lagos,10106,Los Muermos,3/15/2020,-
10,Los Lagos,10108,Maullín,3/15/2020,-
10,Los Lagos,10301,Osorno,3/15/2020,1
10,Los Lagos,10404,Palena,3/15/2020,-
10,Los Lagos,10101,Puerto Montt,3/15/2020,0
10,Los Lagos,10302,Puerto Octay,3/15/2020,-
10,Los Lagos,10109,Puerto Varas,3/15/2020,-
10,Los Lagos,10206,Puqueldón,3/15/2020,-
10,Los Lagos,10303,Purranque,3/15/2020,-
10,Los Lagos,10304,Puyehue,3/15/2020,-
10,Los Lagos,10207,Queilén,3/15/2020,-
10,Los Lagos,10208,Quellón,3/15/2020,-
10,Los Lagos,10209,Quemchi,3/15/2020,-
10,Los Lagos,10210,Quinchao,3/15/2020,-
10,Los Lagos,10305,Río Negro,3/15/2020,-
10,Los Lagos,10306,San Juan de la Costa,3/15/2020,-
10,Los Lagos,10307,San Pablo,3/15/2020,-
11,Aysén,11201,Aisén,3/15/2020,-
11,Aysén,11401,Chile Chico,3/15/2020,-
11,Aysén,11202,Cisnes,3/15/2020,-
11,Aysén,11301,Cochrane,3/15/2020,-
11,Aysén,11101,Coyhaique,3/15/2020,-
11,Aysén,11203,Guaitecas,3/15/2020,-
11,Aysén,11102,Lago Verde,3/15/2020,-
11,Aysén,11302,O'Higgins,3/15/2020,-
11,Aysén,11402,Río Ibáñez,3/15/2020,-
11,Aysén,11303,Tortel,3/15/2020,-
12,Magallanes,12202,Antártica,3/15/2020,-
12,Magallanes,12201,Cabo de Hornos,3/15/2020,0
12,Magallanes,12102,Laguna Blanca,3/15/2020,-
12,Magallanes,12401,Natales,3/15/2020,-
12,Magallanes,12301,Porvenir,3/15/2020,-
12,Magallanes,12302,Primavera,3/15/2020,-
12,Magallanes,12101,Punta Arenas,3/15/2020,0
12,Magallanes,12103,Río Verde,3/15/2020,-
12,Magallanes,12104,San Gregorio,3/15/2020,-
12,Magallanes,12303,Timaukel,3/15/2020,-
12,Magallanes,12402,Torres del Paine,3/15/2020,-
15,Arica y Parinacota,15101,Arica,3/16/2020,0
15,Arica y Parinacota,15102,Camarones,3/16/2020,-
15,Arica y Parinacota,15202,General Lagos,3/16/2020,-
15,Arica y Parinacota,15201,Putre,3/16/2020,-
1,Tarapacá,1107,Alto Hospicio,3/16/2020,-
1,Tarapacá,1402,Camiña,3/16/2020,-
1,Tarapacá,1403,Colchane,3/16/2020,-
1,Tarapacá,1404,Huara,3/16/2020,-
1,Tarapacá,1101,Iquique,3/16/2020,0
1,Tarapacá,1405,Pica,3/16/2020,-
1,Tarapacá,1401,Pozo Almonte,3/16/2020,-
2,Antofagasta,2101,Antofagasta,3/16/2020,2
2,Antofagasta,2201,Calama,3/16/2020,-
2,Antofagasta,2302,María Elena,3/16/2020,-
2,Antofagasta,2102,Mejillones,3/16/2020,-
2,Antofagasta,2202,Ollagüe,3/16/2020,-
2,Antofagasta,2203,San Pedro de Atacama,3/16/2020,-
2,Antofagasta,2103,Sierra Gorda,3/16/2020,-
2,Antofagasta,2104,Taltal,3/16/2020,-
2,Antofagasta,2301,Tocopilla,3/16/2020,-
3,Atacama,3302,Alto del Carmen,3/16/2020,-
3,Atacama,3102,Caldera,3/16/2020,-
3,Atacama,3201,Chañaral,3/16/2020,-
3,Atacama,3101,Copiapó,3/16/2020,-
3,Atacama,3202,Diego de Almagro,3/16/2020,-
3,Atacama,3303,Freirina,3/16/2020,-
3,Atacama,3304,Huasco,3/16/2020,-
3,Atacama,3103,Tierra Amarilla,3/16/2020,-
3,Atacama,3301,Vallenar,3/16/2020,-
4,Coquimbo,4103,Andacollo,3/16/2020,-
4,Coquimbo,4202,Canela,3/16/2020,-
4,Coquimbo,4302,Combarbalá,3/16/2020,-
4,Coquimbo,4102,Coquimbo,3/16/2020,0
4,Coquimbo,4201,Illapel,3/16/2020,-
4,Coquimbo,4104,La Higuera,3/16/2020,-
4,Coquimbo,4101,La Serena,3/16/2020,-
4,Coquimbo,4203,Los Vilos,3/16/2020,-
4,Coquimbo,4303,Monte Patria,3/16/2020,-
4,Coquimbo,4301,Ovalle,3/16/2020,0
4,Coquimbo,4105,Paiguano,3/16/2020,-
4,Coquimbo,4304,Punitaqui,3/16/2020,-
4,Coquimbo,4305,Río Hurtado,3/16/2020,-
4,Coquimbo,4204,Salamanca,3/16/2020,-
4,Coquimbo,4106,Vicuña,3/16/2020,-
5,Valparaíso,5602,Algarrobo,3/16/2020,0
5,Valparaíso,5402,Cabildo,3/16/2020,-
5,Valparaíso,5502,Calera,3/16/2020,0
5,Valparaíso,5302,Calle Larga,3/16/2020,-
5,Valparaíso,5603,Cartagena,3/16/2020,-
5,Valparaíso,5102,Casablanca,3/16/2020,-
5,Valparaíso,5702,Catemu,3/16/2020,-
5,Valparaíso,5103,Concón,3/16/2020,-
5,Valparaíso,5604,El Quisco,3/16/2020,-
5,Valparaíso,5605,El Tabo,3/16/2020,-
5,Valparaíso,5503,Hijuelas,3/16/2020,-
5,Valparaíso,5201,Isla de Pascua,3/16/2020,-
5,Valparaíso,5104,Juan Fernández,3/16/2020,-
5,Valparaíso,5504,La Cruz,3/16/2020,-
5,Valparaíso,5401,La Ligua,3/16/2020,-
5,Valparaíso,5802,Limache,3/16/2020,-
5,Valparaíso,5703,Llaillay,3/16/2020,-
5,Valparaíso,5301,Los Andes,3/16/2020,-
5,Valparaíso,5506,Nogales,3/16/2020,-
5,Valparaíso,5803,Olmué,3/16/2020,-
5,Valparaíso,5704,Panquehue,3/16/2020,-
5,Valparaíso,5403,Papudo,3/16/2020,-
5,Valparaíso,5404,Petorca,3/16/2020,-
5,Valparaíso,5105,Puchuncaví,3/16/2020,-
5,Valparaíso,5705,Putaendo,3/16/2020,-
5,Valparaíso,5501,Quillota,3/16/2020,0
5,Valparaíso,5801,Quilpué,3/16/2020,0
5,Valparaíso,5107,Quintero,3/16/2020,-
5,Valparaíso,5303,Rinconada,3/16/2020,-
5,Valparaíso,5601,San Antonio,3/16/2020,-
5,Valparaíso,5304,San Esteban,3/16/2020,-
5,Valparaíso,5701,San Felipe,3/16/2020,-
5,Valparaíso,5706,Santa María,3/16/2020,-
5,Valparaíso,5606,Santo Domingo,3/16/2020,-
5,Valparaíso,5101,Valparaíso,3/16/2020,0
5,Valparaíso,5804,Villa Alemana,3/16/2020,0
5,Valparaíso,5109,Viña del Mar,3/16/2020,0
5,Valparaíso,5405,Zapallar,3/16/2020,-
13,Metropolitana,13502,Alhué,3/16/2020,-
13,Metropolitana,13402,Buin,3/16/2020,1
13,Metropolitana,13403,Calera de Tango,3/16/2020,1
13,Metropolitana,13102,Cerrillos,3/16/2020,-
13,Metropolitana,13103,Cerro Navia,3/16/2020,2
13,Metropolitana,13301,Colina,3/16/2020,3
13,Metropolitana,13104,Conchalí,3/16/2020,1
13,Metropolitana,13503,Curacaví,3/16/2020,0
13,Metropolitana,13105,El Bosque,3/16/2020,2
13,Metropolitana,13602,El Monte,3/16/2020,-
13,Metropolitana,13106,Estación Central,3/16/2020,2
13,Metropolitana,13107,Huechuraba,3/16/2020,2
13,Metropolitana,13108,Independencia,3/16/2020,1
13,Metropolitana,13603,Isla de Maipo,3/16/2020,-
13,Metropolitana,13109,La Cisterna,3/16/2020,1
13,Metropolitana,13110,La Florida,3/16/2020,4
13,Metropolitana,13111,La Granja,3/16/2020,0
13,Metropolitana,13112,La Pintana,3/16/2020,-
13,Metropolitana,13113,La Reina,3/16/2020,2
13,Metropolitana,13302,Lampa,3/16/2020,1
13,Metropolitana,13114,Las Condes,3/16/2020,17
13,Metropolitana,13115,Lo Barnechea,3/16/2020,6
13,Metropolitana,13116,Lo Espejo,3/16/2020,0
13,Metropolitana,13117,Lo Prado,3/16/2020,1
13,Metropolitana,13118,Macul,3/16/2020,1
13,Metropolitana,13119,Maipú,3/16/2020,4
13,Metropolitana,13504,María Pinto,3/16/2020,-
13,Metropolitana,13501,Melipilla,3/16/2020,1
13,Metropolitana,13120,Ñuñoa,3/16/2020,6
13,Metropolitana,13604,Padre Hurtado,3/16/2020,1
13,Metropolitana,13404,Paine,3/16/2020,-
13,Metropolitana,13121,Pedro Aguirre Cerda,3/16/2020,1
13,Metropolitana,13605,Peñaflor,3/16/2020,1
13,Metropolitana,13122,Peñalolén,3/16/2020,3
13,Metropolitana,13202,Pirque,3/16/2020,-
13,Metropolitana,13123,Providencia,3/16/2020,8
13,Metropolitana,13124,Pudahuel,3/16/2020,2
13,Metropolitana,13201,Puente Alto,3/16/2020,4
13,Metropolitana,13125,Quilicura,3/16/2020,2
13,Metropolitana,13126,Quinta Normal,3/16/2020,2
13,Metropolitana,13127,Recoleta,3/16/2020,2
13,Metropolitana,13128,Renca,3/16/2020,1
13,Metropolitana,13401,San Bernardo,3/16/2020,3
13,Metropolitana,13129,San Joaquín,3/16/2020,1
13,Metropolitana,13203,San José de Maipo,3/16/2020,-
13,Metropolitana,13130,San Miguel,3/16/2020,2
13,Metropolitana,13505,San Pedro,3/16/2020,-
13,Metropolitana,13131,San Ramón,3/16/2020,-
13,Metropolitana,13101,Santiago,3/16/2020,12
13,Metropolitana,13601,Talagante,3/16/2020,-
13,Metropolitana,13303,Tiltil,3/16/2020,-
13,Metropolitana,13132,Vitacura,3/16/2020,8
6,O’Higgins,6302,Chépica,3/16/2020,-
6,O’Higgins,6303,Chimbarongo,3/16/2020,-
6,O’Higgins,6102,Codegua,3/16/2020,-
6,O’Higgins,6103,Coinco,3/16/2020,-
6,O’Higgins,6104,Coltauco,3/16/2020,-
6,O’Higgins,6105,Doñihue,3/16/2020,-
6,O’Higgins,6106,Graneros,3/16/2020,-
6,O’Higgins,6202,La Estrella,3/16/2020,-
6,O’Higgins,6107,Las Cabras,3/16/2020,-
6,O’Higgins,6203,Litueche,3/16/2020,-
6,O’Higgins,6304,Lolol,3/16/2020,-
6,O’Higgins,6108,Machalí,3/16/2020,-
6,O’Higgins,6109,Malloa,3/16/2020,-
6,O’Higgins,6204,Marchihue,3/16/2020,-
6,O’Higgins,6110,Mostazal,3/16/2020,-
6,O’Higgins,6305,Nancagua,3/16/2020,-
6,O’Higgins,6205,Navidad,3/16/2020,-
6,O’Higgins,6111,Olivar,3/16/2020,-
6,O’Higgins,6306,Palmilla,3/16/2020,-
6,O’Higgins,6206,Paredones,3/16/2020,-
6,O’Higgins,6307,Peralillo,3/16/2020,-
6,O’Higgins,6112,Peumo,3/16/2020,-
6,O’Higgins,6113,Pichidegua,3/16/2020,-
6,O’Higgins,6201,Pichilemu,3/16/2020,-
6,O’Higgins,6308,Placilla,3/16/2020,-
6,O’Higgins,6309,Pumanque,3/16/2020,-
6,O’Higgins,6114,Quinta de Tilcoco,3/16/2020,-
6,O’Higgins,6101,Rancagua,3/16/2020,0
6,O’Higgins,6115,Rengo,3/16/2020,-
6,O’Higgins,6116,Requínoa,3/16/2020,-
6,O’Higgins,6301,San Fernando,3/16/2020,-
6,O’Higgins,6117,San Vicente,3/16/2020,-
6,O’Higgins,6310,Santa Cruz,3/16/2020,-
7,Maule,7201,Cauquenes,3/16/2020,-
7,Maule,7202,Chanco,3/16/2020,-
7,Maule,7402,Colbún,3/16/2020,-
7,Maule,7102,Constitución,3/16/2020,-
7,Maule,7103,Curepto,3/16/2020,-
7,Maule,7301,Curicó,3/16/2020,1
7,Maule,7104,Empedrado,3/16/2020,-
7,Maule,7302,Hualañé,3/16/2020,-
7,Maule,7303,Licantén,3/16/2020,-
