edad,sexo,region,confirmados
40 a 44,Hombre,RM,32
45 a 49,Hombre,RM,56
50 a 54,Hombre,RM,98
55 a 59,Hombre,RM,131
60 a 64,Hombre,RM,189
65 a 69,Hombre,RM,246
70 a 74,Hombre,RM,268
75 a 79,Hombre,RM,312
80 a 84,Hombre,RM,267
85 a 89,Hombre,RM,221
90 a 99,Hombre,RM,105
100 +,Hombre,RM,4
< 1,Mujer,RM,2
1 a 4,Mujer,RM,2
5 a 9,Mujer,RM,0
10 a 14,Mujer,RM,0
15 a 19,Mujer,RM,0
20 a 24,Mujer,RM,2
25 a 29,Mujer,RM,6
30 a 34,Mujer,RM,16
35 a 39,Mujer,RM,6
40 a 44,Mujer,RM,12
45 a 49,Mujer,RM,21
50 a 54,Mujer,RM,34
55 a 59,Mujer,RM,73
60 a 64,Mujer,RM,117
65 a 69,Mujer,RM,129
70 a 74,Mujer,RM,187
75 a 79,Mujer,RM,238
80 a 84,Mujer,RM,220
85 a 89,Mujer,RM,212
90 a 99,Mujer,RM,206
100 +,Mujer,RM,11
< 1,Hombre,O'Higgins,0
1 a 4,Hombre,O'Higgins,0
5 a 9,Hombre,O'Higgins,0
10 a 14,Hombre,O'Higgins,2
15 a 19,Hombre,O'Higgins,1
20 a 24,Hombre,O'Higgins,2
25 a 29,Hombre,O'Higgins,14
30 a 34,Hombre,O'Higgins,14
35 a 39,Hombre,O'Higgins,23
40 a 44,Hombre,O'Higgins,32
45 a 49,Hombre,O'Higgins,56
50 a 54,Hombre,O'Higgins,98
55 a 59,Hombre,O'Higgins,131
60 a 64,Hombre,O'Higgins,189
65 a 69,Hombre,O'Higgins,246
70 a 74,Hombre,O'Higgins,268
75 a 79,Hombre,O'Higgins,312
80 a 84,Hombre,O'Higgins,267
85 a 89,Hombre,O'Higgins,221
90 a 99,Hombre,O'Higgins,105
100 +,Hombre,O'Higgins,4
< 1,Mujer,O'Higgins,2
1 a 4,Mujer,O'Higgins,2
5 a 9,Mujer,O'Higgins,0
10 a 14,Mujer,O'Higgins,0
15 a 19,Mujer,O'Higgins,0
20 a 24,Mujer,O'Higgins,2
25 a 29,Mujer,O'Higgins,6
30 a 34,Mujer,O'Higgins,16
35 a 39,Mujer,O'Higgins,6
40 a 44,Mujer,O'Higgins,12
45 a 49,Mujer,O'Higgins,21
50 a 54,Mujer,O'Higgins,34
55 a 59,Mujer,O'Higgins,73
60 a 64,Mujer,O'Higgins,117
65 a 69,Mujer,O'Higgins,129
70 a 74,Mujer,O'Higgins,187
75 a 79,Mujer,O'Higgins,238
80 a 84,Mujer,O'Higgins,220
85 a 89,Mujer,O'Higgins,212
90 a 99,Mujer,O'Higgins,206
100 +,Mujer,O'Higgins,11
< 1,Hombre,Maule,0
1 a 4,Hombre,Maule,0
5 a 9,Hombre,Maule,0
10 a 14,Hombre,Maule,2
15 a 19,Hombre,Maule,1
20 a 24,Hombre,Maule,2
25 a 29,Hombre,Maule,14
30 a 34,Hombre,Maule,14
35 a 39,Hombre,Maule,23
40 a 44,Hombre,Maule,32
45 a 49,Hombre,Maule,56
50 a 54,Hombre,Maule,98
55 a 59,Hombre,Maule,131
60 a 64,Hombre,Maule,189
65 a 69,Hombre,Maule,246
70 a 74,Hombre,Maule,268
75 a 79,Hombre,Maule,312
80 a 84,Hombre,Maule,267
85 a 89,Hombre,Maule,221
90 a 99,Hombre,Maule,105
100 +,Hombre,Maule,4
< 1,Mujer,Maule,2
1 a 4,Mujer,Maule,2
5 a 9,Mujer,Maule,0
10 a 14,Mujer,Maule,0
15 a 19,Mujer,Maule,0
20 a 24,Mujer,Maule,2
25 a 29,Mujer,Maule,6
30 a 34,Mujer,Maule,16
35 a 39,Mujer,Maule,6
40 a 44,Mujer,Maule,12
45 a 49,Mujer,Maule,21
50 a 54,Mujer,Maule,34
55 a 59,Mujer,Maule,73
60 a 64,Mujer,Maule,117
65 a 69,Mujer,Maule,129
70 a 74,Mujer,Maule,187
75 a 79,Mujer,Maule,238
80 a 84,Mujer,Maule,220
85 a 89,Mujer,Maule,212
90 a 99,Mujer,Maule,206
100 +,Mujer,Maule,11
< 1,Hombre,Ñuble,0
1 a 4,Hombre,Ñuble,0
5 a 9,Hombre,Ñuble,0
10 a 14,Hombre,Ñuble,2
15 a 19,Hombre,Ñuble,1
20 a 24,Hombre,Ñuble,2
25 a 29,Hombre,Ñuble,14
30 a 34,Hombre,Ñuble,14
35 a 39,Hombre,Ñuble,23
40 a 44,Hombre,Ñuble,32
45 a 49,Hombre,Ñuble,56
50 a 54,Hombre,Ñuble,98
55 a 59,Hombre,Ñuble,131
60 a 64,Hombre,Ñuble,189
65 a 69,Hombre,Ñuble,246
70 a 74,Hombre,Ñuble,268
75 a 79,Hombre,Ñuble,312
80 a 84,Hombre,Ñuble,267
85 a 89,Hombre,Ñuble,221
90 a 99,Hombre,Ñuble,105
100 +,Hombre,Ñuble,4
< 1,Mujer,Ñuble,2
1 a 4,Mujer,Ñuble,2
5 a 9,Mujer,Ñuble,0
10 a 14,Mujer,Ñuble,0
15 a 19,Mujer,Ñuble,0
20 a 24,Mujer,Ñuble,2
25 a 29,Mujer,Ñuble,6
30 a 34,Mujer,Ñuble,16
35 a 39,Mujer,Ñuble,6
40 a 44,Mujer,Ñuble,12
45 a 49,Mujer,Ñuble,21
50 a 54,Mujer,Ñuble,34
55 a 59,Mujer,Ñuble,73
60 a 64,Mujer,Ñuble,117
65 a 69,Mujer,Ñuble,129
70 a 74,Mujer,Ñuble,187
75 a 79,Mujer,Ñuble,238
80 a 84,Mujer,Ñuble,220
85 a 89,Mujer,Ñuble,212
90 a 99,Mujer,Ñuble,206
100 +,Mujer,Ñuble,11
< 1,Hombre,Biobío,0
1 a 4,Hombre,Biobío,0
5 a 9,Hombre,Biobío,0
10 a 14,Hombre,Biobío,2
15 a 19,Hombre,Biobío,1
20 a 24,Hombre,Biobío,2
25 a 29,Hombre,Biobío,14
30 a 34,Hombre,Biobío,14
35 a 39,Hombre,Biobío,23
40 a 44,Hombre,Biobío,32
45 a 49,Hombre,Biobío,56
50 a 54,Hombre,Biobío,98
55 a 59,Hombre,Biobío,131
60 a 64,Hombre,Biobío,189
65 a 69,Hombre,Biobío,246
70 a 74,Hombre,Biobío,268
75 a 79,Hombre,Biobío,312
80 a 84,Hombre,Biobío,267
85 a 89,Hombre,Biobío,221
90 a 99,Hombre,Biobío,105
100 +,Hombre,Biobío,4
< 1,Mujer,Biobío,2
1 a 4,Mujer,Biobío,2
5 a 9,Mujer,Biobío,0
10 a 14,Mujer,Biobío,0
15 a 19,Mujer,Biobío,0
20 a 24,Mujer,Biobío,2
25 a 29,Mujer,Biobío,6
30 a 34,Mujer,Biobío,16
35 a 39,Mujer,Biobío,6
40 a 44,Mujer,Biobío,12
45 a 49,Mujer,Biobío,21
50 a 54,Mujer,Biobío,34
55 a 59,Mujer,Biobío,73
